,Position,Track Name,Artist,Streams,date,region,id,date_from,date_to,valence
7731,132,如果雨之後,Eric Chou,20739,2019-06-14--2019-06-21,hk,6kabSi7XCHHGThNme6J2tL,2019-06-14,2019-06-21,0.445
7732,133,All Falls Down (feat. Juliander),Alan Walker,20716,2019-06-14--2019-06-21,hk,1HvCFAUIWQsWV9zud3UhDl,2019-06-14,2019-06-21,0.675
7733,134,The Middle,Zedd,20672,2019-06-14--2019-06-21,hk,09IStsImFySgyp0pIQdqAc,2019-06-14,2019-06-21,0.437
7734,135,不該,Jay Chou,20632,2019-06-14--2019-06-21,hk,7LyCtbxher5m97MImn5M3l,2019-06-14,2019-06-21,0.187
7735,136,只是太愛你,Hins Cheung,20569,2019-06-14--2019-06-21,hk,0s5GrkSNp9bfP2FtrtbiJ0,2019-06-14,2019-06-21,0.334
7736,137,lovely (with Khalid),Billie Eilish,20501,2019-06-14--2019-06-21,hk,0u2P5u6lvoDfwTYjAADbn4,2019-06-14,2019-06-21,0.12
7737,138,I Like Me Better,Lauv,20452,2019-06-14--2019-06-21,hk,2P91MQbaiQOfbiz9VqhqKQ,2019-06-14,2019-06-21,0.419
7738,139,Attention,Charlie Puth,20347,2019-06-14--2019-06-21,hk,5cF0dROlMOK5uNZtivgu50,2019-06-14,2019-06-21,0.797
7739,140,Old Town Road,Lil Nas X,20287,2019-06-14--2019-06-21,hk,53CJANUxooaqGOtdsBTh7O,2019-06-14,2019-06-21,0.471
7740,141,I'm Yours,Jason Mraz,20149,2019-06-14--2019-06-21,hk,3S0OXQeoh0w6AY8WQVckRW,2019-06-14,2019-06-21,0.718
7741,142,明明他已離開妳,Hins Cheung,20045,2019-06-14--2019-06-21,hk,1lTbjJHizaTlozAvSCEtcw,2019-06-14,2019-06-21,0.273
7742,143,哪裡只得我共你,Dear Jane,19991,2019-06-14--2019-06-21,hk,6oHNXUrt4s5JJIM1WoOwsZ,2019-06-14,2019-06-21,0.284
7743,144,說好的幸福呢,Jay Chou,19925,2019-06-14--2019-06-21,hk,6W2tmkeuHKaedHhdTPnyVs,2019-06-14,2019-06-21,0.24
7744,145,Thinking out Loud,Ed Sheeran,19854,2019-06-14--2019-06-21,hk,1Slwb6dOYkBlWal1PGtnNg,2019-06-14,2019-06-21,0.591
7745,146,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,19837,2019-06-14--2019-06-21,hk,6yIdwnpDHufLWgQcveTPMk,2019-06-14,2019-06-21,0.0862
7746,147,野孩子,Miriam Yeung,19765,2019-06-14--2019-06-21,hk,66YUHByAhvckqMtO9EkJ1J,2019-06-14,2019-06-21,0.52
7747,148,It's You,Ali Gatie,19670,2019-06-14--2019-06-21,hk,6moU77g9RQyMzHNuKEaQKq,2019-06-14,2019-06-21,0.397
7748,149,長相廝守,ToNick,19598,2019-06-14--2019-06-21,hk,44TjgDPUGUqU3ylA8tBkVf,2019-06-14,2019-06-21,0.503
7749,150,晴天,Jay Chou,19591,2019-06-14--2019-06-21,hk,0F02KChKwbcQ3tk4q1YxLH,2019-06-14,2019-06-21,0.399
7750,151,在月台上等你,Janice Vidal,19576,2019-06-14--2019-06-21,hk,4apKcYGPasaBCwmEVvGB0k,2019-06-14,2019-06-21,0.463
7751,152,認真如初,Jason Chan,19558,2019-06-14--2019-06-21,hk,2rdcqS9cMomMCHqtX3v7hM,2019-06-14,2019-06-21,0.32
7752,153,以後別做朋友,Eric Chou,19547,2019-06-14--2019-06-21,hk,7zyYmIdjqqiX6kLryb7QBx,2019-06-14,2019-06-21,0.291
7753,154,Hold The Line (feat. A R I Z O N A),Avicii,19544,2019-06-14--2019-06-21,hk,6EBlOYNcZ8MrdEov9lEdV6,2019-06-14,2019-06-21,0.372
7754,155,Delicate,Taylor Swift,19521,2019-06-14--2019-06-21,hk,5sOch9Cf4uxcMtwFzMtNqQ,2019-06-14,2019-06-21,0.0499
7755,156,SOLO,JENNIE,19486,2019-06-14--2019-06-21,hk,2wVDWtLKXunswWecARNILj,2019-06-14,2019-06-21,0.388
7756,157,Not Ok,Kygo,19445,2019-06-14--2019-06-21,hk,6aoGtdWXBkYQ2O2wnyIz2x,2019-06-14,2019-06-21,0.408
7757,158,Wolves,Selena Gomez,19307,2019-06-14--2019-06-21,hk,0tBbt8CrmxbjRP0pueQkyU,2019-06-14,2019-06-21,0.305
7758,159,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,19256,2019-06-14--2019-06-21,hk,1ZLrDPgR7mvuTco3rQK8Pk,2019-06-14,2019-06-21,0.447
7759,160,Big Plans,Why Don't We,19183,2019-06-14--2019-06-21,hk,6Yx181fZzA0YE2EkUsYruq,2019-06-14,2019-06-21,0.651
7760,161,Beautiful (feat. Camila Cabello),Bazzi,19121,2019-06-14--2019-06-21,hk,4VUwkH455At9kENOfzTqmF,2019-06-14,2019-06-21,0.249
7761,162,她說,JJ Lin,19099,2019-06-14--2019-06-21,hk,632VyMrvhsHIsO4zq9khts,2019-06-14,2019-06-21,0.326
7762,163,(一個男人) 一個女人 和浴室,Louis Koo,19029,2019-06-14--2019-06-21,hk,5NvsRbIoMFMqBAVFHn1f3X,2019-06-14,2019-06-21,0.467
